t,p1,p2,p1_p2_minus_q,pillow_h_order10,pillow_h_order8,c_recursion_order22,c_recursion_order20,ccy_plane_h_order10,ccy_plane_h_order8,relative_h10_vs_c22,relative_h_truncation_shift,relative_c_truncation_shift,relative_ccy_h10_vs_c22,relative_ccy_h_truncation_shift,map_residual
0.55,0.02789205613958087,0.1868331915297489,0.0,0.4801283753638483,0.4801283775897131,0.48012835345572147,0.4801282972659784,0.48007513017278436,0.4799195764576704,4.562972936612467e-08,4.635978469459536e-09,1.17030684054165e-07,0.00011085219723849886,0.0003241245465795222,1.0019679951969773e-67
0.56,0.02710570055132406,0.19225335486229542,0.0,0.47983271906593955,0.4798327218477752,0.4798326857326213,0.47983260445000514,0.4797676193497721,0.47958677404187766,6.946862784751285e-08,5.79751125906909e-09,1.6939785962187445e-07,0.00013560223132754942,0.0003770856864342922,4.685612105479159e-67
0.57,0.02634750442138412,0.19778578583918355,0.0,0.47965635820883074,0.4796563617011896,0.4796563078028671,0.4796561909271982,0.47957694515954935,0.4793671158550051,1.050876697123255e-07,7.280960089106238e-09,2.436655069272122e-07,0.00016545731188493938,0.00043772152407672556,2.086211350519911e-67
0.58,0.02561583677887561,0.20343516051688246,0.0,0.47959947891339505,0.47959948331427965,0.47959940314144034,0.4795992360660105,0.4795028186989869,0.479259841310297,1.579900937903344e-07,9.176166278466041e-09,3.4836467042107165e-07,0.00020138566024229516,0.0005069846620689106,3.4585536907070196e-67
0.59,0.024909182775434042,0.20920645666561885,0.0,0.4796626704336403,0.4796626759967868,0.47966255718078515,0.479662319695384,0.47954526794417107,0.4792644550670678,2.3610943451090918e-07,1.1598039153767564e-08,4.951095623391595e-07,0.0002445244784238967,0.000585924689666326,1.6121640378242558e-67
0.6,0.024226132946335438,0.21510498099008765,0.0,0.479846934624305,0.4798469416750016,0.4798467662822228,0.47984643056899207,0.47970463219660586,0.47938071675932115,3.5082466751650254e-07,1.469363657922883e-08,6.996263998791471e-07,0.0002962072386527648,0.0006756955921682254,4.742958104542094e-68
0.61,0.02356537358122287,0.22113639951106603,0.0,0.48015369983923367,0.48015370879472447,0.48015345093870015,0.48015297890162795,0.4799815583608188,0.47960863220790706,5.183770585013867e-07,1.865129976849146e-08,9.830972481190095e-07,0.0003579950899973887,0.0007775634712722904,4.466566597550733e-67
0.62,0.022925678064709867,0.22730677156748996,0.0,0.480584839599024,0.4805848509948747,0.48058447347066213,0.48058381319340027,0.48037699892228025,0.4799484459654596,7.618397639364491e-07,2.3712463491434798e-08,1.3739065772678997e-06,0.0004317129658466722,0.0008929145628518413,3.32394934241478e-67
0.63,0.022305899065548303,0.23362258797868926,0.0,0.4811426964802385,0.4811427110044747,0.4811421605622113,0.48114124163048616,0.48089221151514344,0.4804006350631663,1.113845493250879e-06,3.0186960928388514e-08,1.9099001408311255e-06,0.0005194910518250985,0.0010232635348462267,4.236248264414444e-67
0.64,0.021704961468519156,0.24009081400319843,0.0,0.48183011181046015,0.4818301303478664,0.4818293310780194,0.4818280584292034,0.4815287599870797,0.48096590384537935,1.6203505897734779e-06,3.8472907900435744e-08,2.641292456368867e-06,0.000623812357515004,0.001170262043941758,2.960877718474792e-67
0.65,0.02112185595618347,0.24671893784784768,0.0,0.4826504619095245,0.4826504855992693,0.48264932970489677,0.48264757557466004,0.4822885168838712,0.48164517979263566,2.345812079297602e-06,4.9082608567111465e-08,3.634391480539698e-06,0.0007475672270096638,0.0013357075254288382,6.543004429561492e-68
0.66,0.020555633158480323,0.25351502562376343,0.0,0.4836077018047964,0.483607732115592,0.4836060670779428,0.48360366049784587,0.4831736672898075,0.48243961024619425,3.3802860735611016e-06,6.267640812814085e-08,4.9763479756264615e-06,0.0008941157226333406,0.001521552186062556,1.192872605170778e-67
0.67,0.020005398297165803,0.2604877838209847,0.0,0.48470641757685706,0.48470645640527377,0.4847040671824697,0.48470078033747516,0.48418671397162416,0.4833505599580193,4.8491327935373735e-06,8.010707553587187e-08,6.781183624751813e-06,0.0010673589224304565,0.001729912164946115,4.1055905642253644e-67
0.68,0.019470306259472717,0.267646630589053,-8.236092143148846e-84,0.48595188877372186,0.485951938573201,0.48594852297242835,0.48594405354703674,0.4853304837839774,0.4843796093995114,6.9262506919611715e-06,1.024781983919186e-07,9.1974073126487e-06,0.0012718202839069274,0.0019630768224219884,1.8159953139532457e-67
0.69,0.01894955704129733,0.2750017773781193,0.0,0.48735016268288506,0.4873502266336199,0.4873453613172477,0.4873393097353857,0.48660813530348834,0.4855285537704206,9.852080307834364e-06,1.312213092797082e-07,1.2417594355921796e-05,0.0015127383417925682,0.0022235181117241233,9.217874894343282e-68
0.7,0.0184423915047943,0.2825643228282039,0.0,0.4889081426924982,0.4889082249259697,0.48890131858568564,0.48889315877305084,0.4880231676663919,0.48679940265645005,1.3958045423818208e-05,1.6819817562099972e-07,1.669038007259207e-05,0.0017961721229021084,0.00251389998275227,8.207562908599881e-68
0.71,0.017948087398537423,0.2903463612122523,0.0,0.4906336935345843,0.49063379943154745,0.4906240284018429,0.49061307035868723,0.48957943059194275,0.48819438029023177,1.969967262494181e-05,2.158370728462985e-07,2.233540812037138e-05,0.002129120771566775,0.002837087761820551,1.899106348677662e-67
0.72,0.01746595559037674,0.2983611082668748,0.0,0.49253576692328394,0.4925359035109831,0.49252212336991535,0.492507465423516,0.4912811355800915,0.4897159263757481,2.7701402071437327e-05,2.7731521332890284e-07,2.9761876577414427e-05,0.002519658977616727,0.0031961574456585225,2.3703968813786288e-67
