z,q,p1,p2,p3,pillow_h_order10,pillow_h_order8,c_recursion_order20,c_recursion_order18,relative_h10_vs_c20,relative_h_truncation_shift,relative_c_truncation_shift,difference_over_shift_sum,cover_residual,nome_product_residual
0.08591666666666667,0.00561436011760811,0.06635697996286966,0.37351052689048975,0.2265222189884086,0.9141419616939269,0.9141385795902575,0.9141344449381472,0.9141199779153851,8.222812105339175e-06,3.6997712874488706e-06,1.5826175022568243e-05,0.42112233511165326,4.5310540575309976e-67,0.0
0.089,0.005825510252471912,0.0692207656264789,0.37220021886690263,0.22611061341184588,0.9333476615551713,0.9333443060194831,0.933339865215122,0.9333248988625873,8.353163022241871e-06,3.5951745422782076e-06,1.6035522627717384e-05,0.42551535230288245,7.118104810960521e-67,8.236092143148846e-84
0.09208333333333334,0.006037374161864984,0.07212642449602351,0.3708751303138671,0.22569709868035376,0.952441882859094,0.9524385562627947,0.9524337985217332,0.9524183174703637,8.488083238351005e-06,3.492714860630609e-06,1.6254466220955746e-05,0.4298377172560535,5.5015411291086136e-67,0.0
0.09516666666666666,0.0062499566185471615,0.07507505290694746,0.3695349528285738,0.22528165767182257,0.9714388364169879,0.9714355408995965,0.971430454962107,0.9714144424640371,8.627951530671588e-06,3.3924200346968984e-06,1.6483693643017795e-05,0.4340864451960414,7.094400547262089e-67,0.0
0.09825,0.006463262443326239,0.07806778975605634,0.3681793680445953,0.2248642730279168,0.9903518341013556,0.9903485715759215,0.9903431456389307,0.9903265834616192,8.773183783031903e-06,3.294320331040801e-06,1.6723955095316846e-05,0.4382587209026225,6.566528337178108e-67,8.236092143148846e-84
0.10133333333333333,0.006677296505706218,0.08110581873009105,0.3668080471775364,0.22444492714955663,1.0091934023541522,1.0091901745111707,1.0091843961531153,1.0091672644590362,8.924237306129194e-06,3.198448679999694e-06,1.697606995652385e-05,0.4423519325002845,4.6850103278299156e-67,8.236092143148846e-84
0.10441666666666667,0.006892063724546565,0.0841903706827699,0.3654206505432757,0.22402360219228643,1.0279753809567473,1.0279721892666691,1.0279660453641057,1.0279483225743633,9.081615763308837e-06,3.104840881524531e-06,1.724093454236846e-05,0.44636370814571524,7.712812513895187e-67,8.236092143148846e-84
0.1075,0.007107569068732658,0.08732272617239743,0.3640168270467155,0.2236002800615275,1.046709009531104,1.0467058552455066,1.0466993318801179,1.0466809945200128,9.245874809823335e-06,3.0135358290954334e-06,1.75195309755384e-05,0.45029195578990455,2.9925424078813825e-67,8.236092143148846e-84
0.11058333333333334,0.007323817557857699,0.09050421817331086,0.36259621363876643,0.223174942407711,1.065405003788007,1.0654018879394778,1.0653949702938887,1.065375992818056,9.41762857715855e-06,2.924575753523483e-06,1.7812937367469914e-05,0.454134906254729,3.131606760272188e-67,0.0
0.11366666666666667,0.0075408142629162945,0.09373623497574006,0.3611584347390784,0.22274757062128756,1.0840736231800878,1.0840705465808425,1.084063218821376,1.0840435734156442,9.597557163946868e-06,2.8380064886410625e-06,1.8122339556643427e-05,0.457891159965179,8.757191539735654e-68,8.236092143148846e-84
0.11675,0.00775856430700995,0.09702022329011092,0.35970310162179453,0.22231814582760928,1.1027247313329704,1.1027216945722191,1.1027139397163632,1.1026935960729183,9.786415332690927e-06,2.753877761094027e-06,1.8449044700529715e-05,0.4615597378334927,7.329361506484476e-67,8.236092143148846e-84
0.11983333333333333,0.007977072866064748,0.10035769157344587,0.35822981176134105,0.2218866488816805,1.1213678504007218,1.1213648538407726,1.1213566536066994,1.1213355786684374,9.98504265915415e-06,2.672243506680137e-06,1.879449708277136e-05,0.465140137020181,2.4076280983106333e-67,1.6472184286297693e-83
0.12291666666666666,0.008196345169561426,0.10375021359732971,0.356738148134973,0.2214530603627728,1.1400122103095112,1.1400092540805877,1.1400005887155062,1.139978746384635,1.0194375441604378e-05,2.593162215930506e-06,1.916029657620326e-05,0.4686323926239606,4.51909277383656e-67,0.0
0.126,0.00841638650127816,0.10719943227894194,0.35522767847846837,0.22101736056890017,1.1586667937065909,1.1586638777003244,1.1586547257837674,1.1586320765886886,1.041546075367616e-05,2.5166973119047956e-06,1.9548220299148705e-05,0.4720371468080396,5.938626890324801e-67,0.0
0.12908333333333333,0.008637202200046254,0.11070706379893691,0.35369795449099967,0.22057952951114945,1.1773403773131532,1.1773375011746934,1.1773278393919717,1.1773043401052294,1.0649473121999441e-05,2.442917563466435e-06,1.9960248120980104e-05,0.4753557274895694,3.293853695119036e-67,0.0
0.13216666666666665,0.008858797660519094,0.1142749020325149,0.3521485109847992,0.2201395469078616,1.196041570283785,1.1960387334024583,1.1960285362824212,1.1960041394809715,1.0897734433762063e-05,2.371897537620252e-06,2.03985928179066e-05,0.4785902395429515,4.235586025432359e-67,0.0
0.13525,0.009081178333954557,0.1179048233229121,0.35057886497477947,0.21969739217865872,1.2147788500978018,1.2147760515962305,1.2147652912060873,1.214739944763265,1.1161737837499342e-05,2.303718094829247e-06,2.0865735856986355e-05,0.4817436725402278,4.5841898618473885e-67,0.0
